year,value,type
1971.875,1,cores
1971.875,0.704135515486,frequency
1971.875,2.30824152676,transistors
1971.875,0.445079406236,watts
1972.25961538,1,cores
1972.25961538,0.509367521678,frequency
1974.27884615,1,cores
1979.61538462,1,cores
1982.30769231,1,cores
1982.30769231,6.09756235221,frequency
1982.30769231,135.772714211,transistors
1982.30769231,3.02321302502,watts
1985.91346154,1,cores
1985.91346154,16.1076153462,frequency
1985.91346154,273.841963426,transistors
1985.91346154,1.53992652606,watts
1986.25,1,cores
1986.25,16.1076153462,frequency
1986.25,109.411381058,transistors
1986.25,3.02321302502,watts
1988.65384615,1,cores
1988.65384615,40.3151936286,frequency
1988.65384615,83.5362546958,specint
1988.65384615,121.881418484,transistors
1988.65384615,3.95964498892,watts
1989.47115385,1,cores
1989.47115385,24.8045441431,frequency
1989.47115385,50.0286461058,specint
1989.47115385,1207.90074743,transistors
1989.47115385,2.78812666541,watts
1990.57692308,1,cores
1990.57692308,33.3762469429,frequency
1990.57692308,1207.90074743,transistors
1990.57692308,3.45989166087,watts
1992.35576923,1,cores
1992.69230769,1,cores
1992.69230769,100.903504484,frequency
1992.69230769,273.841963426,specint
1992.69230769,1113.97385999,transistors
1992.69230769,14.4595990307,watts
1992.98076923,1,cores
1993.41346154,1,cores
1993.41346154,40.3151936286,frequency
1993.41346154,239.279917343,specint
1993.41346154,922.239565104,transistors
1993.41346154,13.3352143216,watts
1994.71153846,1,cores
1994.71153846,296.93148482,frequency
1994.71153846,2788.12666541,transistors
1994.71153846,3.02321302502,watts
1995.43269231,1,cores
1995.43269231,296.93148482,frequency
1995.43269231,1027.35076818,specint
1995.43269231,9646.61619911,transistors
1995.43269231,50.0286461058,watts
1995.76923077,1,cores
1996.10576923,1,cores
1996.10576923,198.095677855,frequency
1996.49038462,1,cores
1996.875,1,cores
1996.875,1810.55824303,specint
1996.875,43.7144481261,watts
1997.25961538,1,cores
1997.45192308,1,cores
1997.45192308,537.611747456,frequency
1997.45192308,1762.35644057,specint
1997.45192308,3554.52235561,transistors
1997.45192308,36.1904305625,watts
1997.69230769,1,cores
1998.84615385,1,cores
1998.84615385,495.806824168,frequency
1999.18269231,1,cores
1999.18269231,399.542055895,frequency
1999.18269231,1144.4419008,specint
1999.18269231,6978.3058486,transistors
1999.18269231,14.0746466334,watts
1999.51923077,1,cores
1999.51923077,1860.07840181,specint
2000.19230769,1,cores
2000.19230769,743.179548784,frequency
2000.19230769,3367.78028307,specint
2000.19230769,22266.7201035,transistors
2000.19230769,36.1904305625,watts
2000.67307692,1,cores
2000.67307692,1000,frequency
2000.67307692,4782.85814165,specint
2000.67307692,37180.2666391,transistors
2000.67307692,19.9885481187,watts
2001.10576923,1,cores
2001.10576923,897.687132447,frequency
2001.10576923,5473.70326288,specint
2001.10576923,29163.7757405,transistors
2001.10576923,71.0497411443,watts
2001.63461538,1,cores
2001.77884615,1,cores
2001.77884615,1420.18116969,frequency
2001.77884615,6264.33536657,specint
2002.35576923,1,cores
2002.74038462,1,cores
2002.93269231,1,cores
2003.31730769,1,cores
2003.50961538,1,cores
2003.50961538,2186.97465501,frequency
2003.50961538,11341.944035,specint
2003.50961538,54246.9093701,transistors
2003.50961538,74.9894209332,watts
2003.70192308,1,cores
2004.80769231,2,cores
2004.80769231,1910.95297497,frequency
2004.80769231,21096.9051341,specint
2004.80769231,273841.963426,transistors
2004.80769231,115.478198469,watts
2004.85576923,1,cores
2004.85576923,3651.74127255,frequency
2004.85576923,100.903504484,watts
2005.72115385,2,cores
2005.72115385,3190.84898063,frequency
2005.72115385,232909.659246,transistors
2005.72115385,128.639694494,watts
2005.81730769,1,cores
2005.81730769,112403.866377,transistors
2005.81730769,85.8210354325,watts
2005.96153846,8,cores
2005.96153846,1207.90074743,frequency
2005.96153846,305052.789027,transistors
2005.96153846,72.9930061435,watts
2006.05769231,2,cores
2006.05769231,115478.198469,transistors
2006.05769231,24.8045441431,watts
2006.82692308,2,cores
2007.06730769,2,cores
2007.06730769,2308.24152676,frequency
2007.06730769,23501.4008461,specint
2007.06730769,151247.254531,transistors
2007.06730769,31.6227766017,watts
2007.64423077,4,cores
2007.64423077,2942.72717621,frequency
2007.64423077,582941.534714,transistors
2007.64423077,132.158088956,watts
2007.74038462,2,cores
2007.74038462,4067.94432108,frequency
2007.74038462,232909.659246,transistors
2007.88461538,2,cores
2007.88461538,31.6227766017,watts
2007.98076923,8,cores
2007.98076923,1420.18116969,frequency
2007.98076923,509367.521678,transistors
2007.98076923,85.8210354325,watts
2008.17307692,4,cores
2008.17307692,2308.24152676,frequency
2008.17307692,20535.2502646,specint
2008.17307692,77.0404392011,watts
2008.46153846,2,cores
2008.46153846,3023.21302502,frequency
2008.46153846,410469.838044,transistors
2008.46153846,65.5248823737,watts
2009.18269231,3,cores
2009.18269231,2502.86543117,frequency
2009.18269231,457252.669897,transistors
2009.18269231,95.6023901095,watts
2009.23076923,4,cores
2009.47115385,4,cores
2009.47115385,125.214968907,watts
2009.61538462,3,cores
2009.71153846,6,cores
2009.71153846,3278.12115139,frequency
2009.71153846,1910952.97497,transistors
2010.19230769,16,cores
2010.19230769,2308.24152676,frequency
2010.19230769,410469.838044,transistors
2011.16,12,cores
2011.16,3470,frequency
2011.16,46000.7,specint
2011.16,1170000,transistors
2011.16,130,watts
2011.32,20,cores
2011.32,2400,frequency
2011.32,39000.4,specint
2011.32,2600000,transistors
2011.32,130,watts
2011.9,8,cores
2011.9,3000,frequency
2011.9,33000.6,specint
2011.9,1200000,transistors
2011.9,95,watts
2012.40,16,cores
2012.40,3100,frequency
2012.40,31000.8,specint
2012.40,2400000,transistors
2012.40,140,watts
2012.41,16,cores
2012.41,2900,frequency
2012.41,59000.0,specint
2012.41,2300000,transistors
2012.41,130,watts
2012.7,32,cores
2012.7,3700,frequency
2012.7,2100000,transistors
2012.7,200,watts
2012.9,16,cores
2012.9,2500,frequency
2012.9,33000.7,specint
2012.9,1200000,transistors
2012.9,115,watts
2013.4,240,cores
2013.4,1200,frequency
2013.4,5000000,transistors
2013.4,300,watts
2013.8,24,cores
2013.8,2700,frequency
2013.8,59000.6,specint
2013.8,4300000,transistors
2013.8,130,watts
2014.16,30,cores
2014.16,2800,frequency
2014.16,59000.9,specint
2014.16,4300000,transistors
2014.16,155,watts
2014.5,64,cores
2014.5,3700,frequency
2014.5,4200000,transistors
2014.5,200,watts
2014.8,16,cores
2014.8,3200,frequency
2014.8,66000.4,specint
2014.8,2600000,transistors
2014.8,135,watts
2014.81,24,cores
2014.81,2600,frequency
2014.81,65000.4,specint
2014.81,3800000,transistors
2014.81,135,watts
2014.82,36,cores
2014.82,2300,frequency
2014.82,66000.1,specint
2014.82,5700000,transistors
2014.82,140,watts
2016.33,44,cores
2016.33,2200,frequency
2016.33,73900.2,specint
2016.33,7200000,transistors
2016.33,145,watts
2016.5,272,cores
2016.5,1500,frequency
2016.5,245,watts
2016.67,96,cores
2016.67,4000,frequency
2016.67,8000000,transistors
2017.5,64,cores
2017.5,2200,frequency
2017.5,19200000,transistors
2017.5,180,watts
2017.58,44,cores
2017.58,2100,frequency
2017.58,77900.2,specint
2017.58,140,watts
2017.59,56,cores
2017.59,2500,frequency
2017.59,83600.3,specint
2017.59,205,watts
2018.4,88,cores
2018.4,3400,frequency
2018.4,8000000,transistors
2018.4,190,watts
2018.5,80,cores
2018.5,1200,frequency
2018.5,21100000,transistors
2018.5,250,watts
2019.3,56,cores
2019.3,2700,frequency
2019.3,90900.2,specint
2019.3,8000000,transistors
2019.3,205,watts
2019.8,128,cores
2019.8,2250,frequency
2019.8,78300.4,specint
2019.8,39500000,transistors
2019.8,225,watts
2020.1,128,cores
2020.1,2900,frequency
2020.1,99000,specint
2020.1,30400000,transistors
2020.1,280,watts
2020.2,56,cores
2020.2,2700,frequency
2020.2,97200,specint
2020.2,205,watts
2020.9,8,cores
2020.9,3200,frequency
2020.9,16000000,transistors
2020.9,28,watts
2021.3,80,cores
2021.3,2300,frequency
2021.3,105300,specint
2021.3,290,watts
2021.8,10,cores
2021.8,3200,frequency
2021.8,57000000,transistors
2021.8,30,watts
2021.9,64,cores
2021.9,2600,frequency
2021.9,55000000,transistors
2021.9,100,watts
1974.32692308,2.01691455473,frequency
1974.32692308,6.09756235221,transistors
1974.32692308,0.922239565104,watts
1979.56730769,5.04806571667,frequency
1979.56730769,29.1637757405,transistors
1979.56730769,1.71543789634,watts
1992.40384615,65.5248823737,frequency
1992.40384615,90.5797775943,specint
1992.40384615,1207.90074743,transistors
1992.40384615,5.9352292723,watts
1993.02884615,198.095677855,frequency
1993.02884615,321.967844425,specint
1993.02884615,1715.43789634,transistors
1993.02884615,35.2269465147,watts
1995.72115385,90.5797775943,frequency
1995.72115385,410.469838044,specint
1995.72115385,3105.90022362,transistors
1995.72115385,16.1076153462,watts
1996.34615385,198.095677855,frequency
1996.34615385,1382.37222736,specint
1996.34615385,3651.74127255,transistors
1996.34615385,10.1815172172,watts
1996.44230769,90.5797775943,frequency
1996.44230769,4293.51021008,transistors
1996.44230769,11.341944035,watts
1996.82692308,509.367521678,frequency
1996.82692308,9646.61619911,transistors
1997.35576923,252.547893258,frequency
1997.35576923,1274.87836177,specint
1997.35576923,5473.70326288,transistors
1997.35576923,24.8045441431,watts
1997.54807692,232.909659246,frequency
1997.54807692,8896.4911282,transistors
1997.54807692,17.0007761882,watts
1997.64423077,296.93148482,frequency
1997.64423077,1459.02421563,specint
1997.64423077,7566.6953714,transistors
1997.64423077,32.4876838337,watts
1999.13461538,296.93148482,frequency
1999.13461538,9389.79801048,transistors
1999.47115385,509.367521678,frequency
1999.47115385,2713.89943121,specint
1999.47115385,21673.9216957,transistors
1999.47115385,21.0969051341,watts
2001.20192308,2016.91455473,frequency
2001.20192308,6264.33536657,specint
2001.20192308,42550.6550247,transistors
2001.20192308,72.9930061435,watts
2001.68269231,805.842187761,frequency
2001.68269231,4293.51021008,specint
2001.68269231,25482.9674798,transistors
2001.68269231,98.2171889188,watts
2002.40384615,2246.79009181,frequency
2002.40384615,9389.79801048,specint
2002.40384615,55730.6040127,transistors
2002.40384615,48.6967525166,watts
2002.78846154,1810.55824303,frequency
2002.78846154,38197.1754928,transistors
2002.88461538,1000,frequency
2002.88461538,9389.79801048,specint
2002.88461538,220673.406908,transistors
2002.88461538,98.2171889188,watts
2003.41346154,1175.74326592,frequency
2003.41346154,10181.5172172,specint
2003.41346154,151247.254531,transistors
2003.41346154,155.383983127,watts
2003.60576923,1810.55824303,frequency
2005.86538462,2788.12666541,frequency
2005.86538462,21096.9051341,specint
2006.00961538,2246.79009181,frequency
2006.875,2641.64832039,frequency
2006.875,18938.4202733,specint
2006.875,155383.983127,transistors
2006.875,128.639694494,watts
2007.01923077,2713.89943121,frequency
2007.83653846,2016.91455473,frequency
2007.83653846,14074.6466334,specint
2007.83653846,115478.198469,transistors
2009.27884615,3278.12115139,frequency
2009.27884615,784388.558145,transistors
2009.27884615,132.158088956,watts
2009.42307692,2641.64832039,frequency
2009.66346154,2641.64832039,frequency
2009.66346154,2308241.52676,transistors
2009.66346154,132.158088956,watts
1990.625,55.7306040127,specint
1994.75961538,598.885433492,specint
1996.15384615,973.377380904,specint
1996.15384615,5473.70326288,transistors
1996.15384615,33.3762469429,watts
1997.59615385,827.882590628,specint
1998.89423077,3554.52235561,specint
1998.89423077,15261.3780258,transistors
1998.89423077,90.5797775943,watts
2002.83653846,8659.6432336,specint
2002.83653846,62.0824360719,watts
2003.65384615,13335.2143216,specint
2003.65384615,106498.563535,transistors
2003.65384615,88.1683066776,watts
2005.76923077,17000.7761882,specint
2006.92307692,21096.9051341,specint
2006.92307692,245824.406892,transistors
2006.92307692,125.214968907,watts
2006.97115385,35226.9465147,specint
2006.97115385,582941.534714,transistors
2006.97115385,74.9894209332,watts
2007.78846154,31622.7766017,specint
2007.78846154,805842.187761,transistors
2007.78846154,100.903504484,watts
1972.30769231,3.55452235561,transistors
1972.30769231,0.421696503429,watts
2001.82692308,37180.2666391,transistors
2001.82692308,57.2548788436,watts
2008.22115385,445079.406236,transistors
2008.22115385,95.6023901095,watts
2010.38461538,1309747.2643,transistors
2010.38461538,168.485487944,watts
1996.29807692,30.7808954655,watts
2009.56730769,95.6023901095,watts
